loan_amnt,int_rate,installment,grade,emp_length,home_ownership,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
30000,12.99,1010.68,C,7 years,MORTGAGE,106000.0,29.72,1.0,0.0,6.0,14.0,0.0,19179,49.2,24.0,7031.46,7031.46,4960.28,2071.18,0.0,0.0,0.0,1010.68,0.0,Individual,0.0,0.0,354934.0,39000.0
25000,11.49,824.29,B,10+ years,MORTGAGE,130000.0,8.79,0.0,0.0,,10.0,0.0,19889,74.8,24.0,27976.70682,27976.71,25000.0,2976.71,0.0,0.0,0.0,16507.15,0.0,Individual,0.0,0.0,451458.0,26600.0
16550,22.99,466.46,F,10+ years,MORTGAGE,36000.0,26.97,0.0,0.0,,11.0,0.0,38877,67.7,19.0,20497.93,20497.93,10159.74,10338.19,0.0,0.0,0.0,466.46,0.0,Individual,0.0,0.0,170712.0,57400.0
25000,11.49,549.69,B,< 1 year,MORTGAGE,60000.0,19.18,0.0,0.0,,8.0,0.0,14227,67.7,19.0,9862.5,9862.5,6064.35,3798.15,0.0,0.0,0.0,549.69,0.0,Joint App,0.0,0.0,169240.0,21000.0
10000,11.14,328.06,B,8 years,MORTGAGE,70000.0,18.43,0.0,1.0,,12.0,0.0,15982,66.0,18.0,11809.758590000001,11809.76,10000.0,1809.76,0.0,0.0,0.0,327.65,0.0,Individual,0.0,0.0,248921.0,24200.0
6500,23.87,254.58,E,10+ years,MORTGAGE,43200.0,21.28,0.0,0.0,24.0,8.0,0.0,12139,107.4,28.0,6580.229444,6580.23,6500.0,80.23,0.0,0.0,0.0,6588.85,0.0,Individual,0.0,1571.0,23377.0,11300.0
12800,12.99,431.23,C,10+ years,RENT,150000.0,9.29,0.0,2.0,60.0,11.0,0.0,5402,28.1,18.0,12918.43,12918.43,10306.12,2612.31,0.0,0.0,0.0,431.23,0.0,Individual,0.0,0.0,36855.0,19200.0
21000,17.97,758.89,D,10+ years,MORTGAGE,87000.0,5.26,0.0,3.0,52.0,7.0,0.0,14252,66.0,20.0,4532.38,4532.38,2768.33,1764.05,0.0,0.0,0.0,758.89,0.0,Individual,0.0,0.0,46750.0,21600.0
7450,28.34,309.53,G,10+ years,OWN,49000.0,36.13,2.0,2.0,1.0,12.0,1.0,7374,59.0,28.0,7817.26,7817.26,2953.79,2594.29,0.0,2269.18,408.4524,309.53,0.0,Individual,0.0,408.0,136926.0,12500.0
24375,22.95,686.45,F,10+ years,MORTGAGE,103000.0,24.38,0.0,3.0,27.0,16.0,0.0,14806,77.1,35.0,24801.02,24801.02,10407.74,12918.36,0.0,1474.92,263.1096,686.45,0.0,Individual,0.0,0.0,89996.0,19200.0
35000,13.44,804.27,C,10+ years,MORTGAGE,105000.0,8.87,1.0,0.0,23.0,9.0,0.0,31953,69.3,20.0,43928.82524,43928.83,35000.0,8928.83,0.0,0.0,0.0,23071.7,0.0,Individual,0.0,0.0,405479.0,46100.0
8000,17.99,289.18,D,4 years,RENT,54000.0,29.93,0.0,0.0,39.0,15.0,0.0,16833,71.9,18.0,5269.93,5269.93,3460.64,1779.29,30.0,0.0,0.0,304.18,0.0,Joint App,0.0,0.0,59450.0,23400.0
18700,25.88,752.24,F,7 years,RENT,52000.0,29.49,0.0,0.0,49.0,11.0,0.0,17478,94.5,27.0,23329.08,23329.08,15160.66,8168.42,0.0,0.0,0.0,752.24,0.0,Individual,0.0,0.0,94869.0,18500.0
15050,19.99,398.65,E,4 years,MORTGAGE,42000.0,16.23,0.0,1.0,,10.0,0.0,11317,56.6,22.0,22723.05,22723.05,13892.89,8830.16,0.0,0.0,0.0,398.65,0.0,Individual,0.0,0.0,17888.0,20000.0
9550,14.09,326.82,B,10+ years,MORTGAGE,60000.0,32.7,1.0,0.0,8.0,19.0,0.0,11890,67.9,61.0,1960.92,1960.92,1323.89,633.13,0.0,3.9,0.0,326.82,0.0,Individual,0.0,0.0,150973.0,17500.0
6000,12.74,201.42,C,,RENT,32088.0,33.4,0.0,0.0,,12.0,1.0,12909,48.0,25.0,1968.65,1968.65,137.72,59.45,0.0,1771.48,275.9148,201.42,0.0,Individual,0.0,1170.0,25669.0,26900.0
13000,9.99,419.42,B,2 years,MORTGAGE,45000.0,6.61,0.0,1.0,40.0,11.0,0.0,12834,23.9,18.0,5931.32,5931.32,3567.39,1043.75,0.0,1320.18,13.177,419.42,0.0,Individual,0.0,0.0,152305.0,53600.0
35000,25.82,1406.82,E,10+ years,OWN,90000.0,18.32,2.0,1.0,6.0,14.0,1.0,11940,37.9,22.0,25335.64,25154.67,14163.21,11172.43,0.0,0.0,0.0,1406.82,0.0,Individual,0.0,0.0,247847.0,31500.0
40000,9.44,838.91,B,< 1 year,MORTGAGE,296000.0,8.22,0.0,0.0,,8.0,0.0,32925,51.0,24.0,19267.82,19267.82,11304.37,1608.11,0.0,6355.34,1143.9612,838.91,0.0,Individual,0.0,0.0,131021.0,64500.0
15000,18.94,549.39,D,1 year,RENT,50000.0,11.71,0.0,0.0,,8.0,0.0,4206,54.6,9.0,2181.78,2181.78,1280.48,901.3,0.0,0.0,0.0,549.39,0.0,Individual,0.0,0.0,13611.0,7700.0
28000,30.79,1200.8,G,10+ years,MORTGAGE,110000.0,21.36,0.0,1.0,30.0,12.0,0.0,17359,44.1,18.0,37263.76,36931.05,4794.55,6151.8,60.04,26257.37,4726.3266,1260.84,0.0,Individual,0.0,0.0,375710.0,39400.0
15000,12.61,502.6,C,10+ years,RENT,55000.0,20.66,0.0,2.0,39.0,18.0,1.0,14140,62.8,27.0,4010.29,4010.29,2863.46,1146.83,0.0,0.0,0.0,502.6,0.0,Individual,0.0,0.0,94254.0,22500.0
40000,11.98,889.38,B,2 years,RENT,86000.0,7.44,0.0,1.0,,9.0,0.0,8172,16.0,12.0,1752.14,1752.14,984.99,767.15,0.0,0.0,0.0,889.38,0.0,Individual,0.0,0.0,14967.0,66200.0
40000,6.11,1218.88,A,3 years,MORTGAGE,89000.0,16.69,0.0,0.0,57.0,18.0,0.0,34411,26.7,39.0,4848.36,4848.36,4091.97,756.39,0.0,0.0,0.0,1218.88,0.0,Individual,0.0,116.0,212912.0,129000.0
7525,18.49,273.91,E,3 years,RENT,43000.0,16.47,0.0,1.0,,9.0,0.0,5732,65.9,10.0,1504.03,1504.03,646.6,441.31,0.0,416.12,74.9016,273.91,0.0,Individual,0.0,0.0,13680.0,8700.0
10000,7.89,312.86,A,10+ years,MORTGAGE,96000.0,31.89,0.0,1.0,,16.0,0.0,29667,45.5,27.0,5313.45,5313.45,4429.26,884.19,0.0,0.0,0.0,312.86,0.0,Individual,0.0,0.0,91896.0,65200.0
3500,13.49,118.76,C,2 years,MORTGAGE,80000.0,21.16,0.0,2.0,57.0,23.0,0.0,13500,54.2,57.0,2847.62,2847.62,2173.91,673.71,0.0,0.0,0.0,118.76,0.0,Individual,0.0,1142.0,162253.0,24900.0
25000,7.49,777.55,A,1 year,MORTGAGE,85000.0,20.57,0.0,0.0,,11.0,0.0,25043,51.7,39.0,27490.16,27490.16,25000.0,2490.16,0.0,0.0,0.0,11172.01,0.0,Individual,0.0,0.0,231832.0,48400.0
30000,10.75,978.62,B,10+ years,MORTGAGE,117000.0,27.74,0.0,0.0,,23.0,0.0,35903,43.3,33.0,35131.96222,35131.96,30000.0,5131.96,0.0,0.0,0.0,7617.33,0.0,Individual,0.0,0.0,371944.0,82900.0
6000,16.01,210.98,C,2 years,RENT,100000.0,7.69,1.0,0.0,13.0,9.0,1.0,6331,46.2,12.0,1458.36,1458.36,954.02,504.34,0.0,0.0,0.0,210.98,0.0,Joint App,0.0,108.0,32406.0,13700.0
3600,13.67,122.47,C,10+ years,MORTGAGE,67600.0,16.53,0.0,2.0,39.0,19.0,1.0,880,6.3,49.0,2960.17,2960.17,1041.15,423.02,0.0,1496.0,269.28,122.47,0.0,Individual,0.0,78.0,136243.0,13900.0
12000,21.0,324.65,E,7 years,RENT,40000.0,25.11,0.0,0.0,,8.0,0.0,4873,77.3,13.0,6503.67,6503.67,2095.81,3098.07,0.0,1309.79,235.6686,324.65,0.0,Individual,0.0,0.0,21458.0,6300.0
11200,8.49,353.51,B,5 years,RENT,50188.0,10.46,0.0,0.0,,22.0,0.0,17343,30.5,36.0,12263.4064,12263.41,11200.0,1063.41,0.0,0.0,0.0,3575.56,1.0,Individual,0.0,2652.0,17343.0,56900.0
9000,9.76,289.4,B,10+ years,RENT,50000.0,30.82,0.0,2.0,,10.0,0.0,18254,52.6,44.0,858.44,858.44,653.89,204.55,0.0,0.0,0.0,289.4,0.0,Individual,0.0,0.0,40913.0,34700.0
5000,10.75,163.11,B,< 1 year,RENT,45000.0,15.54,1.0,0.0,2.0,14.0,0.0,4136,42.6,31.0,5222.41,5222.41,4353.98,868.43,0.0,0.0,0.0,160.48,0.0,Individual,0.0,0.0,138468.0,9700.0
10000,5.32,301.15,A,7 years,MORTGAGE,42000.0,21.44,0.0,0.0,73.0,15.0,0.0,6821,21.9,37.0,3575.91,3575.91,2352.76,354.63,0.0,868.52,156.3336,301.15,0.0,Individual,0.0,0.0,19956.0,31200.0
25000,12.29,559.79,C,10+ years,MORTGAGE,65000.0,12.78,0.0,0.0,32.0,8.0,0.0,3535,43.6,32.0,23852.06,23852.06,15711.16,8140.9,0.0,0.0,0.0,559.79,0.0,Individual,0.0,0.0,64014.0,8100.0
9100,12.99,306.58,B,6 years,OWN,55000.0,9.14,0.0,1.0,,15.0,6.0,5792,38.6,23.0,11036.49222,10975.85,9100.0,1936.49,0.0,0.0,0.0,306.19,0.0,Individual,0.0,269.0,6655.0,15000.0
15000,18.25,544.17,D,2 years,OWN,80000.0,6.99,0.0,2.0,,13.0,0.0,17235,72.6,15.0,16687.53998,16687.54,15000.0,1687.54,0.0,0.0,0.0,12885.41,0.0,Individual,0.0,,,
21050,18.99,545.94,E,< 1 year,RENT,60000.0,34.9,1.0,0.0,21.0,22.0,0.0,27450,52.1,35.0,18411.07,18411.07,9487.47,8923.6,0.0,0.0,0.0,545.94,0.0,Individual,0.0,0.0,67954.0,52700.0
6625,15.61,231.65,C,< 1 year,RENT,30000.0,17.56,0.0,0.0,,15.0,0.0,13216,56.7,18.0,7307.18,7307.18,5510.96,1681.42,0.0,114.8,20.664,231.65,0.0,Individual,0.0,0.0,13216.0,23300.0
8000,20.39,298.91,D,7 years,RENT,45000.0,42.32,0.0,2.0,70.0,11.0,2.0,7830,59.3,22.0,1177.52,1177.52,668.71,508.81,0.0,0.0,0.0,298.91,0.0,Joint App,0.0,0.0,67120.0,13200.0
5000,8.18,157.1,B,6 years,MORTGAGE,29000.0,16.78,0.0,0.0,,10.0,1.0,7443,43.0,22.0,4284.72,4284.72,3340.32,589.35,0.0,355.05,63.909,157.1,0.0,Individual,0.0,0.0,9438.0,17300.0
12000,25.82,358.01,E,10+ years,MORTGAGE,106000.0,8.23,0.0,0.0,73.0,24.0,0.0,18935,52.6,38.0,2513.95,2513.95,745.42,1768.53,0.0,0.0,0.0,358.01,0.0,Individual,0.0,61.0,405298.0,36000.0
3000,23.88,117.51,E,< 1 year,RENT,200000.0,0.16,0.0,1.0,45.0,1.0,0.0,62,12.4,6.0,985.97,985.97,299.56,278.04,15.0,393.37,70.8066,117.51,0.0,Individual,0.0,0.0,62.0,500.0
23475,12.74,531.01,C,3 years,OWN,51246.0,4.5,0.0,0.0,,5.0,0.0,0,0.0,19.0,7931.92,7931.92,4555.8,3376.12,0.0,0.0,0.0,531.01,0.0,Individual,0.0,0.0,250930.0,22400.0
5950,15.61,208.05,D,10+ years,RENT,55000.0,9.1,0.0,0.0,,4.0,1.0,2915,56.0,9.0,6661.44,6633.45,5144.59,1516.85,0.0,0.0,0.0,208.05,0.0,Individual,0.0,0.0,8206.0,5250.0
36000,11.99,1195.55,C,8 years,MORTGAGE,117000.0,28.64,0.0,1.0,28.0,30.0,0.0,42791,44.0,64.0,1147.59,1147.59,835.85,311.74,0.0,0.0,0.0,1195.55,0.0,Individual,0.0,0.0,364440.0,97200.0
32000,13.33,733.52,C,10+ years,MORTGAGE,85000.0,15.76,1.0,0.0,22.0,6.0,0.0,6375,87.3,18.0,8646.93,8646.93,3144.65,2779.77,0.0,2722.51,490.0518,733.52,0.0,Individual,0.0,0.0,21049.0,7300.0
6000,11.99,199.26,B,10+ years,RENT,40000.0,11.73,0.0,0.0,,6.0,0.0,18024,46.2,13.0,3596.31,3596.31,2727.02,869.29,0.0,0.0,0.0,199.26,0.0,Individual,0.0,0.0,152500.0,39000.0
24575,18.84,635.33,E,10+ years,MORTGAGE,56052.0,35.42,0.0,0.0,34.0,12.0,0.0,44331,86.2,25.0,26376.99,26376.99,24575.0,1801.99,0.0,0.0,0.0,86.27,0.0,Individual,0.0,0.0,157166.0,51400.0
10750,8.9,341.35,A,5 years,MORTGAGE,164000.0,9.26,0.0,1.0,,10.0,0.0,3339,56.6,47.0,12234.64,12234.64,10750.0,1484.64,0.0,0.0,0.0,2676.84,0.0,Individual,0.0,0.0,279504.0,5900.0
9700,12.62,325.06,C,2 years,RENT,62500.0,1.49,0.0,0.0,,6.0,0.0,19,0.0,9.0,10404.08757,10404.09,9700.0,704.09,0.0,0.0,0.0,2144.3,0.0,Individual,0.0,0.0,310.0,72700.0
26625,19.52,698.31,E,4 years,MORTGAGE,73000.0,34.59,0.0,1.0,,14.0,0.0,22979,89.1,35.0,30766.39,30766.39,16845.93,13920.46,0.0,0.0,0.0,698.31,0.0,Individual,0.0,0.0,321118.0,25800.0
5250,10.75,171.26,B,,RENT,30000.0,24.16,0.0,3.0,29.0,4.0,1.0,692,13.8,25.0,2209.46,2209.46,1293.58,415.88,0.0,500.0,90.0,171.26,0.0,Individual,0.0,0.0,32413.0,5000.0
7000,8.39,220.62,A,3 years,OWN,66000.0,18.13,0.0,0.0,33.0,7.0,0.0,11253,75.0,25.0,7492.1,7492.1,7000.0,492.1,0.0,0.0,0.0,5285.9,0.0,Individual,0.0,0.0,214915.0,15000.0
18000,18.49,461.9,E,4 years,OWN,45000.0,23.57,0.0,3.0,80.0,16.0,0.0,15160,43.4,36.0,2364.97,2364.97,951.63,1413.34,0.0,0.0,0.0,461.9,0.0,Individual,0.0,0.0,31140.0,34900.0
10875,13.33,249.29,C,< 1 year,RENT,50000.0,37.21,0.0,2.0,,11.0,1.0,4020,14.0,21.0,9657.88,9657.88,6229.17,3428.71,0.0,0.0,0.0,249.29,0.0,Individual,0.0,0.0,44779.0,28500.0
20000,16.02,486.58,C,10+ years,RENT,47480.04,33.85,0.0,1.0,,9.0,0.0,14725,87.1,12.0,8740.64,8740.64,4434.54,4306.1,0.0,0.0,0.0,486.58,0.0,Individual,0.0,0.0,74227.0,16900.0
10300,19.05,377.82,D,10+ years,RENT,52000.0,14.28,2.0,2.0,19.0,10.0,0.0,12032,91.2,22.0,13601.39693,13601.4,10300.0,3301.4,0.0,0.0,0.0,377.69,0.0,Individual,0.0,0.0,21986.0,13200.0
1000,7.59,31.15,A,10+ years,OWN,45000.0,15.25,0.0,0.0,,14.0,0.0,725,2.7,33.0,1044.1434980000001,1044.14,1000.0,44.14,0.0,0.0,0.0,826.51,0.0,Individual,0.0,0.0,71653.0,26600.0
28600,21.99,789.74,F,< 1 year,RENT,65000.0,22.66,1.0,0.0,18.0,11.0,0.0,13003,65.7,32.0,36114.7508,36114.75,28600.0,7514.75,0.0,0.0,0.0,138.53,0.0,Individual,0.0,0.0,45582.0,19800.0
12000,12.74,271.45,C,< 1 year,RENT,65000.0,12.63,0.0,1.0,,11.0,1.0,1748,9.6,32.0,14430.58853,14430.59,12000.0,2430.59,0.0,0.0,0.0,8747.13,0.0,Individual,0.0,0.0,27534.0,18200.0
11850,23.99,340.84,F,3 years,MORTGAGE,42000.0,15.06,0.0,1.0,64.0,8.0,0.0,3871,64.5,10.0,16101.05,16101.05,7935.87,8148.14,17.04,0.0,0.0,340.84,0.0,Individual,0.0,0.0,10557.0,6000.0
12800,17.14,319.08,D,10+ years,RENT,30000.0,20.8,0.0,1.0,,11.0,0.0,9192,73.5,20.0,18320.20785,18320.21,12800.0,5488.31,31.90000001,0.0,0.0,6175.46,0.0,Individual,0.0,0.0,47823.0,12500.0
25000,15.05,867.25,C,3 years,RENT,46000.0,22.93,0.0,0.0,,16.0,0.0,13975,44.8,30.0,15589.6,15574.01,11103.78,4485.82,0.0,0.0,0.0,867.25,0.0,Joint App,0.0,81.0,46431.0,31200.0
22000,9.17,458.51,B,3 years,RENT,45000.0,34.0,0.0,0.0,47.0,17.0,1.0,12764,17.9,36.0,10321.67,10321.67,7315.0,891.0,0.0,2115.67,380.8206,458.51,0.0,Individual,0.0,0.0,31977.0,71400.0
1400,12.29,46.7,C,10+ years,MORTGAGE,68066.0,17.28,0.0,0.0,35.0,6.0,1.0,77603,29.2,11.0,1678.4032170000003,1678.4,1400.0,278.4,0.0,0.0,0.0,184.96,0.0,Individual,0.0,0.0,274362.0,86700.0
29100,10.99,632.56,B,10+ years,MORTGAGE,124270.0,16.76,0.0,0.0,32.0,10.0,0.0,22093,36.4,24.0,28447.43,28447.43,20272.18,8175.25,0.0,0.0,0.0,632.56,0.0,Individual,0.0,0.0,94453.0,60700.0
15000,15.31,359.3,C,3 years,OWN,42000.0,34.57,0.0,0.0,,11.0,0.0,3876,11.6,16.0,3618.51,3618.51,1779.01,1839.5,0.0,0.0,0.0,359.3,0.0,Individual,0.0,0.0,44566.0,33400.0
3600,14.08,123.18,C,8 years,OWN,47000.0,29.62,0.0,3.0,37.0,8.0,0.0,3668,73.4,40.0,1952.58,1952.58,1415.5,537.08,0.0,0.0,0.0,123.18,0.0,Individual,0.0,0.0,94391.0,5000.0
20000,18.54,513.77,E,1 year,RENT,55000.0,26.58,0.0,1.0,,10.0,0.0,11329,72.2,16.0,25647.3,25647.3,15209.41,10437.89,0.0,0.0,0.0,513.77,0.0,Individual,0.0,0.0,40092.0,15700.0
30000,19.52,786.83,E,8 years,MORTGAGE,95000.0,15.93,0.0,0.0,,15.0,0.0,26822,54.0,25.0,40128.33,40128.33,23462.14,16666.19,0.0,0.0,0.0,786.83,0.0,Individual,0.0,0.0,160937.0,49700.0
3000,10.42,97.4,B,10+ years,OWN,30000.0,15.12,0.0,2.0,26.0,11.0,0.0,6513,39.2,42.0,3294.648754,3294.65,3000.0,294.65,0.0,0.0,0.0,2129.32,0.0,Individual,0.0,1220.0,80615.0,16600.0
16000,26.49,483.7,F,3 years,RENT,85000.0,28.55,0.0,2.0,51.0,24.0,2.0,21718,46.9,45.0,12857.53,12857.53,3856.51,7221.5,0.0,1779.52,320.3136,483.7,0.0,Individual,0.0,0.0,81227.0,47400.0
20000,29.69,643.27,F,7 years,MORTGAGE,65000.0,23.12,0.0,1.0,68.0,10.0,0.0,10857,84.8,29.0,10258.5,10258.5,2853.88,7372.46,32.16,0.0,0.0,643.27,0.0,Individual,0.0,961.0,312143.0,12800.0
10000,8.81,317.12,A,,OWN,28000.0,14.62,0.0,0.0,,7.0,0.0,8315,33.0,10.0,807.33,807.33,746.88,60.45,0.0,0.0,0.0,317.12,0.0,Individual,0.0,0.0,19621.0,25200.0
12000,7.49,373.22,A,< 1 year,RENT,75000.0,14.0,0.0,0.0,68.0,5.0,0.0,15047,62.2,18.0,13430.91021,13430.91,12000.0,1430.91,0.0,0.0,0.0,373.2,1.0,Individual,0.0,0.0,24551.0,24200.0
35000,7.26,1084.87,A,3 years,MORTGAGE,194000.0,29.34,0.0,0.0,,20.0,0.0,300338,65.3,38.0,39040.95602,39040.96,35000.0,4040.96,0.0,0.0,0.0,1084.63,0.0,Individual,0.0,0.0,685779.0,361600.0
5000,10.42,162.33,B,2 years,RENT,65000.0,13.16,1.0,0.0,21.0,9.0,0.0,3329,31.4,9.0,2266.83,2266.83,1762.09,504.74,0.0,0.0,0.0,162.33,0.0,Individual,0.0,0.0,19383.0,10600.0
8000,11.99,265.68,C,9 years,RENT,44000.0,23.49,0.0,0.0,,17.0,0.0,4175,25.2,30.0,8756.636002,8756.64,8000.0,756.64,0.0,0.0,0.0,6370.85,0.0,Individual,0.0,140.0,74614.0,16600.0
39900,15.49,959.52,C,10+ years,MORTGAGE,47500.0,43.84,0.0,0.0,,8.0,0.0,25931,64.8,21.0,5736.83,5736.83,2742.22,2946.63,47.98,0.0,0.0,959.52,0.0,Joint App,0.0,0.0,383715.0,40000.0
5000,17.27,178.94,D,,RENT,25500.0,13.18,0.0,1.0,45.0,12.0,0.0,4528,42.7,16.0,6412.7341289999995,6412.73,5000.0,1412.73,0.0,0.0,0.0,185.82,0.0,Individual,0.0,0.0,11655.0,10600.0
6800,11.39,223.89,B,10+ years,RENT,33770.0,10.45,0.0,1.0,76.0,11.0,4.0,6321,41.6,22.0,4245.3,4245.3,3300.67,944.63,0.0,0.0,0.0,223.89,0.0,Individual,0.0,95.0,9282.0,15200.0
15000,10.07,484.51,B,4 years,RENT,60000.0,38.29,0.0,0.0,,16.0,0.0,53081,82.3,44.0,2898.67,2898.67,2197.46,701.21,0.0,0.0,0.0,484.51,0.0,Individual,0.0,0.0,146867.0,64500.0
6000,10.99,196.41,B,5 years,RENT,120000.0,23.56,0.0,0.0,,18.0,0.0,39079,75.3,28.0,7068.297817000001,7068.3,6000.0,1068.3,0.0,0.0,0.0,391.84,0.0,Individual,0.0,0.0,95774.0,51900.0
15000,8.18,471.3,B,< 1 year,OWN,45000.0,12.13,0.0,0.0,74.0,7.0,0.0,8509,39.0,21.0,16959.65651,16959.66,15000.0,1959.66,0.0,0.0,0.0,470.98,0.0,Individual,0.0,0.0,27268.0,21800.0
12150,11.99,403.5,B,1 year,MORTGAGE,95000.0,14.43,1.0,1.0,17.0,11.0,1.0,2289,44.9,32.0,14464.895859999999,14464.9,12150.0,2314.9,0.0,0.0,0.0,2367.99,0.0,Individual,0.0,1414.0,35352.0,5100.0
4850,13.98,165.72,C,7 years,RENT,29000.0,11.05,0.0,0.0,,3.0,1.0,1323,88.2,13.0,5965.671142,5965.67,4850.0,1115.67,0.0,0.0,0.0,165.47,0.0,Individual,0.0,0.0,13973.0,1500.0
