loan_amnt,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
3000,15.23,71.74,C,10+ years,RENT,57600.0,Fully Paid,12.08,0.0,2.0,44.0,9.0,0.0,2005,12.4,21.0,4303.730702000001,4303.73,3000.0,1303.73,0.0,0.0,0.0,71.07,0.0,Individual,0.0,,,
15000,19.97,397.16,D,10+ years,MORTGAGE,63000.0,Charged Off,19.58,0.0,1.0,61.0,14.0,0.0,4426,25.7,26.0,21079.7,21079.7,12396.27,8683.43,0.0,0.0,0.0,397.16,0.0,Individual,0.0,391.0,40387.0,17200.0
15000,13.11,506.21,B,< 1 year,MORTGAGE,90000.0,Fully Paid,17.54,0.0,2.0,,13.0,0.0,38159,72.4,33.0,18223.32001,18223.32,15000.0,3223.32,0.0,0.0,0.0,521.61,0.0,Individual,0.0,,,
12000,13.99,410.08,C,< 1 year,RENT,62000.0,Charged Off,34.07,0.0,1.0,,15.0,0.0,17275,83.1,24.0,3292.09,3292.09,1953.06,894.18,0.0,444.85,80.07300000000001,410.08,0.0,Individual,0.0,0.0,109702.0,20800.0
15000,7.89,469.29,A,10+ years,MORTGAGE,185000.0,Fully Paid,20.48,0.0,1.0,,23.0,0.0,23799,26.3,40.0,16479.13045,16479.13,15000.0,1479.13,0.0,0.0,0.0,8038.49,0.0,Individual,0.0,0.0,521948.0,90600.0
9300,19.72,344.3,D,3 years,RENT,28000.0,Charged Off,24.9,0.0,0.0,,7.0,0.0,15710,97.6,18.0,1201.15,1197.93,385.03,301.69,0.0,514.43,4.7,344.3,0.0,Individual,0.0,,,
12000,9.17,382.55,B,10+ years,MORTGAGE,60000.0,Fully Paid,21.8,0.0,3.0,,6.0,0.0,20783,63.8,20.0,13722.33645,13722.34,12000.0,1722.34,0.0,0.0,0.0,2628.39,0.0,Individual,0.0,306.0,157002.0,32600.0
18000,11.99,597.78,B,,MORTGAGE,70000.0,Charged Off,26.81,0.0,5.0,27.0,10.0,1.0,10841,49.3,18.0,13392.84,13392.84,8696.75,2660.96,0.0,2035.13,366.3036,597.78,0.0,Individual,0.0,0.0,178472.0,22000.0
18275,22.39,508.8,E,6 years,OWN,67000.0,Late (16-30 days),18.99,0.0,0.0,,8.0,0.0,6628,85.0,12.0,14732.47,14732.47,6378.46,8354.01,0.0,0.0,0.0,508.8,0.0,Individual,0.0,0.0,291332.0,7800.0
12000,21.49,455.13,D,10+ years,RENT,65000.0,Charged Off,34.12,0.0,2.0,,24.0,0.0,38935,53.8,40.0,10214.79,10214.79,6402.96,3789.07,22.76,0.0,0.0,153.96,0.0,Individual,0.0,0.0,52827.0,72400.0
7250,15.59,253.43,C,2 years,RENT,55000.0,Fully Paid,6.26,3.0,0.0,20.0,12.0,2.0,11526,57.1,24.0,8865.836689,8865.84,7250.0,1615.84,0.0,0.0,0.0,3296.66,0.0,Individual,0.0,0.0,109362.0,20200.0
26950,12.29,603.45,C,< 1 year,MORTGAGE,59890.0,Fully Paid,18.82,0.0,0.0,,12.0,0.0,25841,66.0,28.0,34192.48302,34192.48,26950.0,7242.48,0.0,0.0,0.0,14900.48,0.0,Individual,0.0,0.0,25841.0,39450.0
21850,17.57,549.75,D,3 years,RENT,65000.0,Late (31-120 days),21.89,0.0,1.0,,9.0,0.0,26728,96.0,21.0,21968.67,21968.67,12378.26,9590.41,0.0,0.0,0.0,549.75,0.0,Individual,0.0,0.0,30791.0,27700.0
15000,13.99,512.6,C,8 years,RENT,65000.0,Fully Paid,15.34,0.0,2.0,,9.0,1.0,6271,41.5,14.0,15780.06084,15780.06,15000.0,780.06,0.0,0.0,0.0,13799.61,0.0,Individual,0.0,0.0,138542.0,15100.0
6450,16.99,229.93,D,1 year,RENT,35000.0,Charged Off,16.32,0.0,0.0,37.0,9.0,1.0,7878,42.4,14.0,3206.84,3206.84,2129.63,1077.21,0.0,0.0,0.0,229.93,0.0,Individual,0.0,0.0,39786.0,18600.0
6000,14.49,206.5,C,10+ years,OWN,78000.0,Charged Off,25.35,0.0,1.0,,11.0,0.0,33363,65.8,19.0,4717.39,4717.39,3086.41,1238.92,15.0,377.06,67.8708,325.0,0.0,Individual,0.0,0.0,52028.0,50700.0
27575,18.75,1007.31,D,1 year,MORTGAGE,62000.0,Fully Paid,25.55,0.0,1.0,,6.0,0.0,26573,89.8,28.0,36070.10999,36070.11,27575.0,8495.11,0.0,0.0,0.0,5850.81,0.0,Individual,0.0,0.0,278186.0,29600.0
35000,12.29,783.7,C,10+ years,MORTGAGE,160000.0,Fully Paid,18.02,0.0,0.0,32.0,14.0,0.0,32102,68.4,34.0,46032.635460000005,46032.64,35000.0,11032.64,0.0,0.0,0.0,12381.33,0.0,Individual,0.0,0.0,217686.0,46900.0
4000,9.49,128.12,B,10+ years,MORTGAGE,30000.0,Fully Paid,21.96,0.0,1.0,,12.0,1.0,4321,56.1,22.0,4203.592785,4203.59,4000.0,203.59,0.0,0.0,0.0,3439.09,0.0,Individual,0.0,0.0,125917.0,7700.0
10000,17.47,358.88,D,10+ years,RENT,40000.0,Fully Paid,12.04,0.0,0.0,,8.0,0.0,2978,29.5,10.0,10767.79952,10767.8,10000.0,767.8,0.0,0.0,0.0,9291.69,0.0,Individual,0.0,0.0,5843.0,10100.0
25000,12.29,833.83,C,1 year,RENT,80000.0,Charged Off,11.16,0.0,1.0,,6.0,0.0,36547,45.4,22.0,18269.19,18269.19,12728.09,3931.44,0.0,1609.66,289.7388,833.83,0.0,Individual,0.0,0.0,36547.0,80500.0
7200,18.49,262.08,D,10+ years,MORTGAGE,100000.0,Charged Off,15.1,1.0,3.0,7.0,18.0,0.0,29544,57.0,61.0,2096.64,2096.64,1276.38,820.26,0.0,0.0,0.0,262.08,0.0,Individual,0.0,0.0,259251.0,51800.0
9925,16.99,353.81,D,< 1 year,MORTGAGE,102900.0,Charged Off,12.93,4.0,2.0,3.0,10.0,0.0,5798,56.3,31.0,9199.06,9199.06,6647.75,2551.31,0.0,0.0,0.0,353.81,0.0,Individual,0.0,0.0,515678.0,10300.0
26750,8.46,843.94,A,10+ years,MORTGAGE,91000.0,Fully Paid,29.26,0.0,1.0,,17.0,0.0,7919,9.7,33.0,27318.40403,27318.4,26750.0,568.4,0.0,0.0,0.0,25643.09,0.0,Individual,0.0,0.0,226475.0,81600.0
11000,11.47,362.58,B,1 year,RENT,35000.0,Charged Off,18.9,0.0,1.0,,5.0,0.0,12187,84.0,7.0,3779.17,3779.17,2129.74,756.88,0.0,892.55,160.659,362.58,0.0,Individual,0.0,0.0,20735.0,14500.0
16200,13.35,548.58,C,9 years,RENT,90000.0,Fully Paid,31.64,0.0,0.0,43.0,17.0,0.0,9538,59.6,22.0,19753.72881,19753.73,16200.0,3553.73,0.0,0.0,0.0,553.43,0.0,Individual,0.0,0.0,67191.0,16000.0
35000,13.99,814.21,C,2 years,MORTGAGE,150000.0,In Grace Period,21.17,0.0,0.0,72.0,13.0,0.0,46428,80.0,24.0,24371.89,24371.89,14487.78,9884.11,0.0,0.0,0.0,814.21,0.0,Individual,0.0,0.0,579881.0,58000.0
10000,18.75,365.3,D,5 years,RENT,44500.0,Fully Paid,30.58,0.0,2.0,32.0,16.0,0.0,14269,68.3,22.0,13035.65,13003.06,10000.0,3035.65,0.0,0.0,0.0,2812.49,0.0,Individual,0.0,208.0,25441.0,20900.0
35000,7.24,1084.55,A,10+ years,MORTGAGE,130000.0,Charged Off,13.98,0.0,0.0,69.0,11.0,0.0,32156,64.2,18.0,21208.67,21208.67,4419.93,988.74,0.0,15800.0,2844.0,1084.55,0.0,Individual,0.0,0.0,76655.0,50100.0
12000,23.88,470.04,E,10+ years,RENT,92500.0,Fully Paid,13.79,0.0,1.0,,16.0,0.0,25261,78.7,25.0,13336.460509999999,13336.46,12000.0,1336.46,0.0,0.0,0.0,11424.46,0.0,Individual,0.0,0.0,33242.0,32100.0
7250,24.08,284.75,F,,OWN,21504.0,Charged Off,10.04,0.0,1.0,,9.0,1.0,4905,79.1,22.0,3152.43,3152.43,1031.86,961.39,0.0,1159.18,208.6524,284.75,0.0,Individual,0.0,0.0,4905.0,6200.0
35000,20.49,1309.49,E,1 year,RENT,123000.0,Fully Paid,10.97,0.0,2.0,72.0,14.0,1.0,44098,83.8,30.0,46665.02995,46665.03,35000.0,11599.56,65.46999974,0.0,0.0,9946.19,0.0,Individual,0.0,0.0,55472.0,52600.0
7975,12.69,267.53,C,5 years,RENT,19000.0,Charged Off,18.0,0.0,0.0,,6.0,0.0,9710,50.3,7.0,7295.14,7295.14,5449.33,1513.2,0.0,332.61,59.8698,267.53,0.0,Individual,0.0,0.0,9710.0,19300.0
16000,7.9,500.65,A,10+ years,MORTGAGE,54000.0,Fully Paid,7.67,0.0,1.0,,13.0,0.0,10868,27.0,43.0,18023.15973,18023.16,16000.0,2023.16,0.0,0.0,0.0,500.4,0.0,Individual,0.0,0.0,134335.0,40200.0
23550,21.97,899.02,E,10+ years,MORTGAGE,62000.0,Charged Off,33.62,0.0,0.0,,14.0,1.0,24515,90.8,20.0,13783.64,13783.64,6214.37,4579.27,15.0,2975.0,535.5,899.02,0.0,Individual,0.0,0.0,59521.0,27000.0
3000,19.99,111.48,E,7 years,MORTGAGE,65795.0,Charged Off,35.46,0.0,2.0,36.0,12.0,0.0,5756,27.4,47.0,1410.69,1410.69,521.7,366.81,0.0,522.18,93.9924,111.48,0.0,Individual,0.0,15105.0,74268.0,21000.0
24000,12.62,804.27,C,6 years,MORTGAGE,70000.0,In Grace Period,23.74,0.0,0.0,,14.0,0.0,37523,46.6,20.0,15264.75,15264.75,11524.03,3740.72,0.0,0.0,0.0,804.32,0.0,Individual,0.0,2393.0,72599.0,80600.0
7750,12.12,257.86,B,< 1 year,RENT,32000.0,Fully Paid,8.78,0.0,0.0,,6.0,0.0,4432,67.2,20.0,8565.774153,8565.77,7750.0,815.77,0.0,0.0,0.0,5730.52,0.0,Individual,0.0,0.0,8659.0,6600.0
4000,11.49,131.89,B,< 1 year,MORTGAGE,32000.0,Charged Off,22.09,1.0,0.0,13.0,6.0,1.0,2050,66.1,7.0,782.48,782.48,188.08,76.98,0.0,517.42,93.1356,131.89,0.0,Individual,0.0,0.0,78136.0,3100.0
11200,15.61,270.05,D,10+ years,OWN,50000.0,Fully Paid,15.31,0.0,0.0,30.0,13.0,0.0,4367,74.0,35.0,13991.6072,13991.61,11200.0,2791.61,0.0,0.0,0.0,8339.99,0.0,Individual,0.0,0.0,76918.0,5900.0
6975,15.59,243.82,C,5 years,RENT,33500.0,Fully Paid,2.11,0.0,0.0,59.0,6.0,0.0,373,6.5,8.0,7992.749614,7992.75,6975.0,1017.75,0.0,0.0,0.0,5072.95,0.0,Individual,0.0,3347.0,373.0,5700.0
25000,8.18,509.07,B,10+ years,MORTGAGE,75000.0,Fully Paid,6.29,0.0,1.0,,8.0,0.0,4577,8.6,26.0,27566.65,27566.65,25000.0,2566.65,0.0,0.0,0.0,19444.25,0.0,Individual,0.0,0.0,91389.0,53500.0
11675,15.59,408.1,D,10+ years,MORTGAGE,60000.0,Fully Paid,8.12,0.0,2.0,28.0,11.0,1.0,12640,69.1,33.0,12665.51,12665.51,11675.0,990.51,0.0,0.0,0.0,956.13,0.0,Individual,0.0,0.0,137754.0,18300.0
16000,9.71,514.1,B,10+ years,MORTGAGE,110000.0,Fully Paid,10.37,0.0,2.0,50.0,11.0,0.0,15945,44.3,35.0,18440.67,18440.67,16000.0,2440.67,0.0,0.0,0.0,3531.77,0.0,Individual,0.0,0.0,337469.0,35966.0
13250,18.84,342.55,E,4 years,RENT,39000.0,Charged Off,6.52,1.0,0.0,11.0,7.0,0.0,10903,37.3,29.0,12243.03,12243.03,3878.83,4314.63,0.0,4049.57,728.9226,342.55,0.0,Individual,0.0,0.0,10903.0,29200.0
15000,12.99,341.22,C,10+ years,MORTGAGE,120000.0,Late (16-30 days),12.3,0.0,1.0,35.0,22.0,1.0,8921,41.7,34.0,11408.22,11408.22,7443.38,3964.84,0.0,0.0,0.0,341.22,0.0,Individual,0.0,4322.0,306972.0,21400.0
30000,9.16,956.23,B,10+ years,MORTGAGE,95000.0,Fully Paid,14.21,0.0,0.0,,12.0,0.0,15559,41.3,33.0,33014.950410000005,33014.95,30000.0,3014.95,0.0,0.0,0.0,18702.03,0.0,Individual,0.0,0.0,512942.0,37700.0
30000,15.31,718.59,C,10+ years,OWN,74907.0,Fully Paid,21.37,0.0,0.0,78.0,9.0,0.0,32369,60.4,17.0,43085.57679,43085.58,30000.0,13085.58,0.0,0.0,0.0,2844.54,0.0,Individual,0.0,0.0,245860.0,53600.0
12000,21.45,454.88,D,10+ years,MORTGAGE,110225.0,Fully Paid,20.25,1.0,0.0,9.0,10.0,0.0,22670,87.2,33.0,13930.42155,13930.42,12000.0,1930.42,0.0,0.0,0.0,14.74,0.0,Individual,0.0,15982.0,361755.0,26000.0
2400,13.33,81.25,C,10+ years,OWN,49000.0,Charged Off,20.18,0.0,0.0,76.0,7.0,1.0,2475,21.3,46.0,1064.96,1064.96,519.61,278.61,0.0,266.74,48.0132,68.75,0.0,Individual,0.0,0.0,37366.0,11600.0
10000,18.49,363.99,D,6 years,RENT,33280.0,Fully Paid,20.91,0.0,3.0,73.0,14.0,0.0,8919,66.1,34.0,13103.49,13103.49,10000.0,3103.49,0.0,0.0,0.0,378.31,0.0,Individual,0.0,,,
12500,11.14,410.07,B,5 years,MORTGAGE,60000.0,Fully Paid,11.58,0.0,0.0,,8.0,0.0,10727,61.3,35.0,13744.12646,13744.13,12500.0,1244.13,0.0,0.0,0.0,8424.08,0.0,Individual,0.0,0.0,105823.0,17500.0
35000,18.25,1269.73,D,1 year,RENT,65000.0,Charged Off,22.24,1.0,0.0,14.0,22.0,1.0,12839,78.3,32.0,33963.33,33963.33,24386.98,9576.35,0.0,0.0,0.0,1269.73,0.0,Joint App,0.0,0.0,87981.0,16400.0
14825,9.49,474.82,B,9 years,MORTGAGE,110000.0,Fully Paid,12.45,1.0,1.0,4.0,12.0,0.0,22882,78.1,33.0,17038.45538,17038.46,14825.0,2213.46,0.0,0.0,0.0,2338.58,0.0,Individual,0.0,0.0,149083.0,29300.0
10200,11.53,336.51,B,4 years,MORTGAGE,40000.0,Fully Paid,24.19,1.0,0.0,15.0,8.0,0.0,5808,51.4,16.0,12107.43721,12107.44,10200.0,1907.44,0.0,0.0,0.0,336.12,0.0,Individual,0.0,0.0,77382.0,11300.0
25000,13.99,854.32,C,< 1 year,MORTGAGE,74000.0,Fully Paid,33.52,0.0,0.0,,9.0,1.0,6809,81.1,17.0,27511.875460000003,27511.88,25000.0,2469.16,42.72,0.0,0.0,2965.15,0.0,Joint App,0.0,0.0,181135.0,8400.0
3000,17.57,107.82,D,4 years,OWN,38400.0,Fully Paid,11.16,0.0,2.0,68.0,5.0,0.0,1668,17.2,10.0,3754.88,3754.88,3000.0,754.88,0.0,0.0,0.0,1382.84,0.0,Individual,0.0,124.0,5928.0,9700.0
5000,15.22,173.87,C,3 years,MORTGAGE,113000.0,Fully Paid,26.43,0.0,1.0,,20.0,0.0,27131,63.5,39.0,6259.129946,6227.83,5000.0,1259.13,0.0,0.0,0.0,173.67,0.0,Individual,0.0,0.0,378297.0,42700.0
22000,15.61,530.45,C,1 year,RENT,50000.0,Fully Paid,11.23,0.0,0.0,,11.0,0.0,14938,52.2,17.0,31826.921739999998,31826.92,22000.0,9826.92,0.0,0.0,0.0,530.37,0.0,Individual,0.0,0.0,14938.0,28600.0
11850,18.25,429.9,D,10+ years,MORTGAGE,54996.0,Fully Paid,29.26,0.0,1.0,76.0,14.0,0.0,10708,61.2,33.0,15483.534740000001,15483.53,11850.0,3633.53,0.0,0.0,0.0,429.59,0.0,Individual,0.0,0.0,161495.0,17500.0
9800,10.75,319.69,B,1 year,RENT,30000.0,Fully Paid,28.52,0.0,0.0,,5.0,0.0,7798,61.9,22.0,11425.34513,11425.35,9800.0,1625.35,0.0,0.0,0.0,2785.54,0.0,Individual,0.0,0.0,48277.0,12600.0
13000,11.39,428.01,B,6 years,RENT,40000.0,Fully Paid,16.74,0.0,1.0,,10.0,0.0,8997,17.8,16.0,14475.80525,14475.81,13000.0,1475.81,0.0,0.0,0.0,8557.7,0.0,Individual,0.0,0.0,14913.0,50500.0
9600,14.46,330.26,C,2 years,RENT,65000.0,Fully Paid,18.83,0.0,2.0,,17.0,2.0,2552,9.7,24.0,11205.762509999999,11205.76,9600.0,1605.76,0.0,0.0,0.0,6209.45,0.0,Individual,0.0,0.0,38754.0,26300.0
22850,16.59,562.86,D,7 years,RENT,65000.0,Fully Paid,28.73,0.0,0.0,,12.0,0.0,31162,74.9,29.0,29546.661939999998,29546.66,22850.0,6696.66,0.0,0.0,0.0,518.17,0.0,Individual,0.0,0.0,59506.0,41600.0
24000,16.46,849.23,C,3 years,RENT,85000.0,Late (31-120 days),26.26,2.0,0.0,12.0,15.0,0.0,32573,85.5,24.0,5051.49,5046.23,3229.15,1822.34,0.0,0.0,0.0,849.23,0.0,Individual,0.0,0.0,44765.0,38100.0
10775,17.57,387.23,D,10+ years,MORTGAGE,88000.0,Fully Paid,6.67,1.0,0.0,10.0,5.0,0.0,2564,91.6,22.0,13930.7362,13930.74,10775.0,3155.74,0.0,0.0,0.0,386.84,0.0,Individual,0.0,0.0,623389.0,2800.0
40000,6.67,1229.06,A,4 years,MORTGAGE,158750.0,Fully Paid,10.84,2.0,2.0,22.0,45.0,0.0,436,0.5,85.0,40916.817610000006,40916.82,40000.0,916.82,0.0,0.0,0.0,37244.46,0.0,Individual,0.0,530.0,358451.0,96200.0
12000,10.91,260.38,B,,OWN,24000.0,In Grace Period,12.9,0.0,0.0,,7.0,0.0,10235,24.0,14.0,2856.91,2856.91,1741.83,1115.08,0.0,0.0,0.0,260.38,0.0,Joint App,0.0,0.0,10235.0,42600.0
16950,26.06,508.1,G,5 years,MORTGAGE,62000.0,Fully Paid,11.23,0.0,1.0,60.0,7.0,0.0,5239,46.0,12.0,21292.92,21292.92,16950.0,4342.92,0.0,0.0,0.0,15703.82,0.0,Individual,0.0,74.0,29316.0,11400.0
21000,12.99,707.48,B,< 1 year,RENT,140000.0,Charged Off,19.66,0.0,1.0,77.0,14.0,0.0,14518,75.2,32.0,13155.66,13061.69,8338.85,2980.83,0.0,1835.98,330.4764,707.48,0.0,Individual,0.0,315.0,95709.0,19300.0
9600,16.01,337.56,C,,MORTGAGE,52726.0,Late (16-30 days),24.77,0.0,1.0,56.0,8.0,0.0,6977,64.6,15.0,2726.1,2726.1,1756.23,969.87,0.0,0.0,0.0,337.56,0.0,Individual,0.0,0.0,261225.0,10800.0
15050,21.99,415.58,E,2 years,RENT,42000.0,Charged Off,22.03,0.0,0.0,,6.0,0.0,20532,96.8,17.0,7040.96,7017.57,1686.6,2884.78,0.0,2469.58,444.5244,415.58,0.0,Individual,0.0,0.0,20532.0,21200.0
10450,15.05,362.51,C,2 years,RENT,98000.0,Late (31-120 days),9.96,0.0,3.0,,21.0,0.0,3778,9.5,31.0,5082.03,5082.03,3518.18,1563.85,0.0,0.0,0.0,362.51,0.0,Individual,0.0,270.0,15320.0,40700.0
24000,10.99,785.62,B,1 year,MORTGAGE,120000.0,Fully Paid,14.27,0.0,1.0,67.0,12.0,1.0,12900,61.1,17.0,26071.49,26071.49,24000.0,2071.49,0.0,0.0,0.0,19015.56,0.0,Individual,0.0,0.0,45965.0,21100.0
14400,8.46,454.31,A,5 years,RENT,35000.0,In Grace Period,52.18,2.0,0.0,21.0,7.0,0.0,1984,25.8,19.0,1878.63,1878.63,1421.71,388.76,68.16,0.0,0.0,477.03,0.0,Joint App,0.0,0.0,11128.0,7700.0
3000,5.32,90.35,A,10+ years,MORTGAGE,73000.0,Fully Paid,6.28,0.0,0.0,,11.0,0.0,7273,6.8,38.0,3161.1890510000003,3161.19,3000.0,161.19,0.0,0.0,0.0,1988.41,0.0,Individual,0.0,0.0,251738.0,107000.0
22000,13.59,507.24,C,,OWN,40000.0,Fully Paid,16.5,0.0,0.0,,23.0,1.0,2942,3.1,26.0,24359.096540000002,24359.1,22000.0,2359.1,0.0,0.0,0.0,19827.16,0.0,Individual,0.0,0.0,37597.0,96100.0
14000,15.02,333.21,C,4 years,MORTGAGE,52000.0,In Grace Period,29.43,2.0,0.0,5.0,14.0,1.0,15342,62.0,30.0,1975.9,1975.9,978.02,997.88,0.0,0.0,0.0,333.21,0.0,Individual,0.0,0.0,35945.0,24930.0
6000,7.26,185.98,A,1 year,MORTGAGE,60000.0,Fully Paid,20.54,0.0,0.0,,7.0,0.0,4797,57.8,17.0,6543.682591,6543.68,6000.0,543.68,0.0,0.0,0.0,183.92,0.0,Individual,0.0,0.0,117617.0,8300.0
13000,12.49,434.84,B,10+ years,RENT,59000.0,Fully Paid,6.49,1.0,0.0,23.0,9.0,0.0,11875,42.4,16.0,14000.63,13973.71,13000.0,1000.63,0.0,0.0,0.0,10956.75,0.0,Individual,0.0,0.0,11875.0,28000.0
16000,6.89,493.23,A,10+ years,RENT,65000.0,Fully Paid,8.73,0.0,1.0,44.0,5.0,0.0,23564,48.6,12.0,16316.1,16316.1,16000.0,316.1,0.0,0.0,0.0,15338.83,0.0,Individual,0.0,0.0,23564.0,48500.0
35000,24.99,1027.1,F,7 years,OWN,80000.0,Fully Paid,28.52,1.0,4.0,22.0,30.0,1.0,11271,24.5,59.0,38462.05,38462.05,35000.0,3462.05,0.0,0.0,0.0,35429.34,0.0,Individual,0.0,17334.0,213311.0,46000.0
10000,11.49,329.72,B,7 years,MORTGAGE,75000.0,Fully Paid,12.27,0.0,1.0,,15.0,1.0,12649,36.5,29.0,10845.19722,10845.2,10000.0,845.2,0.0,0.0,0.0,8213.82,0.0,Individual,0.0,0.0,88631.0,34700.0
17050,24.85,498.95,E,,RENT,77125.67,Late (16-30 days),16.31,0.0,2.0,,18.0,0.0,19591,23.5,40.0,5928.55,5928.55,1964.27,3964.28,0.0,0.0,0.0,498.95,0.0,Individual,0.0,0.0,38600.0,83500.0
14400,10.99,313.02,B,10+ years,MORTGAGE,65000.0,Fully Paid,25.13,1.0,0.0,19.0,15.0,0.0,5032,14.7,27.0,16729.99205,16729.99,14400.0,2329.99,0.0,0.0,0.0,10500.19,0.0,Individual,0.0,0.0,198901.0,34300.0
27000,15.61,651.01,C,10+ years,MORTGAGE,62000.0,Fully Paid,30.18,0.0,0.0,,25.0,0.0,42663,47.5,42.0,34177.03,34177.03,27000.0,7177.03,0.0,0.0,0.0,19854.81,0.0,Individual,0.0,0.0,188121.0,89900.0
