nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O]
0,0.0,1.24,0.2,2.19,1.09,0,1,0
1,0.0,1.24,0.2,2.46,0.88,0,1,0
2,0.0,1.24,0.21,2.73,0.66,0,1,0
2,0.0,1.24,0.2,2.73,0.63,0,0,1
0,0.0,1.24,0.2,2.19,1.09,0,1,0
0,0.0,1.24,0.18,1.25,0.92,0,1,0
2,0.0,1.24,0.21,2.73,0.66,0,1,0
4,0.0,1.25,0.24,4.63,0.6,0,0,0
3,0.0,1.25,0.21,3.31,0.62,0,0,1
5,4.931,1.36,0.24,4.46,1.27,0,0,8
3,0.0,0.0,0.63,2.96,0.52,0,0,0
3,0.0,0.0,0.43,2.6,0.52,0,0,0
1,4.7989999999999995,1.24,0.22,2.88,2.71,0,1,11
0,0.0,0.31,0.24,0.59,0.97,0,1,1
1,0.0,0.22,0.23,-0.67,0.67,2,1,0
2,5.904,1.74,0.25,4.75,2.86,1,1,4
1,6.692,2.3,0.24,5.47,3.23,0,0,10
0,0.0,1.22,0.26,3.92,2.18,0,0,4
0,0.0,1.68,0.12,1.43,0.83,0,1,9
0,0.0,1.49,0.14,1.18,0.92,0,1,5
2,6.157,2.3,0.18,3.84,1.44,0,0,4
0,0.0,1.19,0.13,3.37,0.78,0,0,0
1,0.0,1.45,0.24,0.43,0.76,0,1,4
1,0.0,1.2,0.15,3.95,0.76,0,0,0
0,0.0,1.19,0.24,2.81,1.42,0,0,1
0,0.0,1.32,0.22,2.95,1.52,0,0,4
0,0.0,1.2,0.23,3.26,1.36,0,0,0
0,0.0,1.36,0.2,3.17,1.05,0,0,0
3,2.197,0.23,0.42,0.64,2.35,1,1,7
0,0.0,1.5,0.15,1.89,0.73,0,1,4
0,0.0,1.49,0.16,2.24,0.92,0,1,4
2,0.0,1.48,0.17,2.57,0.73,0,1,4
1,6.564,2.37,0.16,3.77,2.28,0,1,3
0,0.0,1.71,0.13,1.89,0.79,0,1,8
0,0.0,1.19,0.21,2.81,1.69,0,0,1
0,0.0,1.49,0.16,2.24,0.92,0,1,4
